chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
jfreechart-master\src\main\java\org\jfree\data\gantt\SlidingGanttCategoryDataset.java,SlidingGanttCategoryDataset.java,615,82,0.13333333333333333,108,0.0012345679012345679
jfreechart-master\src\main\java\org\jfree\data\gantt\Task.java,Task.java,227,57,0.2511013215859031,33,0.007609130957148579
jfreechart-master\src\main\java\org\jfree\data\gantt\TaskSeries.java,TaskSeries.java,182,50,0.27472527472527475,26,0.010566356720202875
jfreechart-master\src\main\java\org\jfree\data\gantt\TaskSeriesCollection.java,TaskSeriesCollection.java,631,85,0.1347068145800317,96,0.0014031959852086634
jfreechart-master\src\main\java\org\jfree\data\gantt\XYTaskDataset.java,XYTaskDataset.java,443,70,0.1580135440180587,75,0.002106847253574116
jfreechart-master\src\main\java\org\jfree\data\general\AbstractDataset.java,AbstractDataset.java,219,55,0.2511415525114155,16,0.01569634703196347
jfreechart-master\src\main\java\org\jfree\data\general\AbstractSeriesDataset.java,AbstractSeriesDataset.java,98,43,0.4387755102040816,8,0.0548469387755102
jfreechart-master\src\main\java\org\jfree\data\general\Dataset.java,Dataset.java,55,42,0.7636363636363637,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\DatasetChangeEvent.java,DatasetChangeEvent.java,78,50,0.6410256410256411,3,0.2136752136752137
jfreechart-master\src\main\java\org\jfree\data\general\DatasetChangeListener.java,DatasetChangeListener.java,55,46,0.8363636363636363,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\DatasetUtils.java,DatasetUtils.java,2324,158,0.06798623063683305,467,1.4558079365488877E-4
jfreechart-master\src\main\java\org\jfree\data\general\DefaultHeatMapDataset.java,DefaultHeatMapDataset.java,305,65,0.21311475409836064,61,0.0034936844934157483
jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValueDataset.java,DefaultKeyedValueDataset.java,179,53,0.29608938547486036,29,0.010209978809477943
jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValues2DDataset.java,DefaultKeyedValues2DDataset.java,55,47,0.8545454545454545,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\DefaultKeyedValuesDataset.java,DefaultKeyedValuesDataset.java,44,39,0.8863636363636364,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\DefaultPieDataset.java,DefaultPieDataset.java,321,59,0.1838006230529595,42,0.00437620531078475
jfreechart-master\src\main\java\org\jfree\data\general\DefaultValueDataset.java,DefaultValueDataset.java,126,55,0.4365079365079365,12,0.036375661375661374
jfreechart-master\src\main\java\org\jfree\data\general\HeatMapDataset.java,HeatMapDataset.java,139,54,0.38848920863309355,16,0.024280575539568347
jfreechart-master\src\main\java\org\jfree\data\general\HeatMapUtils.java,HeatMapUtils.java,117,41,0.3504273504273504,10,0.03504273504273504
jfreechart-master\src\main\java\org\jfree\data\general\KeyedValueDataset.java,KeyedValueDataset.java,45,41,0.9111111111111111,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\KeyedValues2DDataset.java,KeyedValues2DDataset.java,45,41,0.9111111111111111,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\KeyedValuesDataset.java,KeyedValuesDataset.java,41,37,0.9024390243902439,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\PieDataset.java,PieDataset.java,47,42,0.8936170212765957,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\Series.java,Series.java,219,60,0.273972602739726,27,0.010147133434804667
jfreechart-master\src\main\java\org\jfree\data\general\SeriesChangeEvent.java,SeriesChangeEvent.java,56,43,0.7678571428571429,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\SeriesChangeListener.java,SeriesChangeListener.java,52,43,0.8269230769230769,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\SeriesDataset.java,SeriesDataset.java,76,47,0.618421052631579,3,0.20614035087719298
jfreechart-master\src\main\java\org\jfree\data\general\SeriesException.java,SeriesException.java,56,44,0.7857142857142857,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\ValueDataset.java,ValueDataset.java,45,41,0.9111111111111111,0,0.0
jfreechart-master\src\main\java\org\jfree\data\general\WaferMapDataset.java,WaferMapDataset.java,271,64,0.23616236162361623,42,0.005622913371990863
jfreechart-master\src\main\java\org\jfree\data\io\CSV.java,CSV.java,184,56,0.30434782608695654,16,0.019021739130434784
jfreechart-master\src\main\java\org\jfree\data\ItemKey.java,ItemKey.java,45,37,0.8222222222222222,1,0.8222222222222222
jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONArray.java,JSONArray.java,142,34,0.23943661971830985,14,0.017102615694164987
jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONAware.java,JSONAware.java,39,31,0.7948717948717948,1,0.7948717948717948
jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONObject.java,JSONObject.java,173,36,0.20809248554913296,17,0.012240734444066644
jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONStreamAware.java,JSONStreamAware.java,44,32,0.7272727272727273,0,0.0
jfreechart-master\src\main\java\org\jfree\data\json\impl\JSONValue.java,JSONValue.java,312,111,0.3557692307692308,70,0.005082417582417583
jfreechart-master\src\main\java\org\jfree\data\json\impl\package-info.java,package-info.java,3,2,0.6666666666666666,0,0.0
jfreechart-master\src\main\java\org\jfree\data\json\JSONUtils.java,JSONUtils.java,185,43,0.23243243243243245,16,0.014527027027027028
jfreechart-master\src\main\java\org\jfree\data\json\package-info.java,package-info.java,3,2,0.6666666666666666,0,0.0
jfreechart-master\src\main\java\org\jfree\data\KeyedObject.java,KeyedObject.java,133,45,0.3383458646616541,19,0.01780767708745548
jfreechart-master\src\main\java\org\jfree\data\KeyedObjects.java,KeyedObjects.java,313,55,0.1757188498402556,54,0.0032540527748195483
jfreechart-master\src\main\java\org\jfree\data\KeyedObjects2D.java,KeyedObjects2D.java,460,65,0.14130434782608695,78,0.0018115942028985505
jfreechart-master\src\main\java\org\jfree\data\KeyedValue.java,KeyedValue.java,48,39,0.8125,1,0.8125
jfreechart-master\src\main\java\org\jfree\data\KeyedValueComparator.java,KeyedValueComparator.java,149,43,0.28859060402684567,29,0.009951400138856746
jfreechart-master\src\main\java\org\jfree\data\KeyedValueComparatorType.java,KeyedValueComparatorType.java,50,45,0.9,0,0.0
jfreechart-master\src\main\java\org\jfree\data\KeyedValues.java,KeyedValues.java,87,44,0.5057471264367817,5,0.10114942528735633
jfreechart-master\src\main\java\org\jfree\data\KeyedValues2D.java,KeyedValues2D.java,101,44,0.43564356435643564,7,0.06223479490806223
jfreechart-master\src\main\java\org\jfree\data\KeyedValues2DItemKey.java,KeyedValues2DItemKey.java,139,48,0.34532374100719426,19,0.01817493373722075
jfreechart-master\src\main\java\org\jfree\data\KeyedValuesItemKey.java,KeyedValuesItemKey.java,105,42,0.4,13,0.03076923076923077
jfreechart-master\src\main\java\org\jfree\data\KeyToGroupMap.java,KeyToGroupMap.java,285,53,0.18596491228070175,50,0.003719298245614035
jfreechart-master\src\main\java\org\jfree\data\Range.java,Range.java,422,65,0.15402843601895735,103,0.001495421708921916
jfreechart-master\src\main\java\org\jfree\data\RangeInfo.java,RangeInfo.java,68,40,0.5882352941176471,3,0.19607843137254902
jfreechart-master\src\main\java\org\jfree\data\RangeType.java,RangeType.java,51,45,0.8823529411764706,0,0.0
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources.java,DataPackageResources.java,60,44,0.7333333333333333,2,0.36666666666666664
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_de.java,DataPackageResources_de.java,60,44,0.7333333333333333,2,0.36666666666666664
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_es.java,DataPackageResources_es.java,60,44,0.7333333333333333,2,0.36666666666666664
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_fr.java,DataPackageResources_fr.java,59,43,0.7288135593220338,2,0.3644067796610169
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_pl.java,DataPackageResources_pl.java,61,45,0.7377049180327869,2,0.36885245901639346
jfreechart-master\src\main\java\org\jfree\data\resources\DataPackageResources_ru.java,DataPackageResources_ru.java,57,41,0.7192982456140351,2,0.35964912280701755
jfreechart-master\src\main\java\org\jfree\data\statistics\BoxAndWhiskerCalculator.java,BoxAndWhiskerCalculator.java,197,42,0.2131979695431472,26,0.008199921905505662
jfreechart-master\src\main\java\org\jfree\data\statistics\BoxAndWhiskerCategoryDataset.java,BoxAndWhiskerCategoryDataset.java,216,64,0.2962962962962963,19,0.015594541910331383
jfreechart-master\src\main\java\org\jfree\data\statistics\BoxAndWhiskerItem.java,BoxAndWhiskerItem.java,261,61,0.23371647509578544,47,0.004972690959484796
jfreechart-master\src\main\java\org\jfree\data\statistics\BoxAndWhiskerXYDataset.java,BoxAndWhiskerXYDataset.java,163,67,0.4110429447852761,11,0.0373675404350251
jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultBoxAndWhiskerCategoryDataset.java,DefaultBoxAndWhiskerCategoryDataset.java,867,94,0.10841983852364476,127,8.536995159342107E-4
jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultBoxAndWhiskerXYDataset.java,DefaultBoxAndWhiskerXYDataset.java,521,73,0.1401151631477927,76,0.0018436205677341145
jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultMultiValueCategoryDataset.java,DefaultMultiValueCategoryDataset.java,378,62,0.164021164021164,67,0.0024480770749427463
jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultStatisticalCategoryDataset.java,DefaultStatisticalCategoryDataset.java,682,113,0.1656891495601173,110,0.0015062649960010663
jfreechart-master\src\main\java\org\jfree\data\statistics\HistogramBin.java,HistogramBin.java,154,57,0.37012987012987014,22,0.016824085005903187
jfreechart-master\src\main\java\org\jfree\data\statistics\HistogramDataset.java,HistogramDataset.java,463,75,0.16198704103671707,69,0.0023476382758944505
jfreechart-master\src\main\java\org\jfree\data\statistics\HistogramType.java,HistogramType.java,50,44,0.88,0,0.0
jfreechart-master\src\main\java\org\jfree\data\statistics\MeanAndStandardDeviation.java,MeanAndStandardDeviation.java,162,49,0.30246913580246915,24,0.012602880658436214
jfreechart-master\src\main\java\org\jfree\data\statistics\MultiValueCategoryDataset.java,MultiValueCategoryDataset.java,64,40,0.625,2,0.3125
jfreechart-master\src\main\java\org\jfree\data\statistics\Regression.java,Regression.java,328,44,0.13414634146341464,45,0.002981029810298103
jfreechart-master\src\main\java\org\jfree\data\statistics\SimpleHistogramBin.java,SimpleHistogramBin.java,257,59,0.22957198443579765,63,0.003643999752949169
jfreechart-master\src\main\java\org\jfree\data\statistics\SimpleHistogramDataset.java,SimpleHistogramDataset.java,450,70,0.15555555555555556,67,0.002321724709784411
jfreechart-master\src\main\java\org\jfree\data\statistics\StatisticalCategoryDataset.java,StatisticalCategoryDataset.java,78,41,0.5256410256410257,4,0.13141025641025642
jfreechart-master\src\main\java\org\jfree\data\statistics\Statistics.java,Statistics.java,418,64,0.15311004784688995,62,0.0024695169007562896
jfreechart-master\src\main\java\org\jfree\data\time\DateRange.java,DateRange.java,145,49,0.33793103448275863,10,0.033793103448275866
jfreechart-master\src\main\java\org\jfree\data\time\Day.java,Day.java,433,80,0.18475750577367206,52,0.003553028957186001
jfreechart-master\src\main\java\org\jfree\data\time\DynamicTimeSeriesCollection.java,DynamicTimeSeriesCollection.java,858,177,0.2062937062937063,128,0.0016116695804195805
jfreechart-master\src\main\java\org\jfree\data\time\FixedMillisecond.java,FixedMillisecond.java,258,66,0.2558139534883721,37,0.0069138906348208675
jfreechart-master\src\main\java\org\jfree\data\time\Hour.java,Hour.java,441,81,0.1836734693877551,56,0.0032798833819241984
jfreechart-master\src\main\java\org\jfree\data\time\Millisecond.java,Millisecond.java,410,73,0.17804878048780487,51,0.003491152558584409
jfreechart-master\src\main\java\org\jfree\data\time\Minute.java,Minute.java,446,78,0.17488789237668162,54,0.0032386646736422523
jfreechart-master\src\main\java\org\jfree\data\time\Month.java,Month.java,493,80,0.16227180527383367,68,0.0023863500775563773
jfreechart-master\src\main\java\org\jfree\data\time\MovingAverage.java,MovingAverage.java,294,54,0.1836734693877551,38,0.004833512352309345
jfreechart-master\src\main\java\org\jfree\data\time\ohlc\OHLC.java,OHLC.java,142,50,0.352112676056338,24,0.014671361502347416
jfreechart-master\src\main\java\org\jfree\data\time\ohlc\OHLCItem.java,OHLCItem.java,127,44,0.3464566929133858,20,0.01732283464566929
jfreechart-master\src\main\java\org\jfree\data\time\ohlc\OHLCSeries.java,OHLCSeries.java,125,46,0.368,10,0.0368
jfreechart-master\src\main\java\org\jfree\data\time\ohlc\OHLCSeriesCollection.java,OHLCSeriesCollection.java,452,75,0.16592920353982302,68,0.0024401353461738677
jfreechart-master\src\main\java\org\jfree\data\time\Quarter.java,Quarter.java,438,82,0.1872146118721461,51,0.0036708747425911003
jfreechart-master\src\main\java\org\jfree\data\time\RegularTimePeriod.java,RegularTimePeriod.java,359,62,0.17270194986072424,58,0.002977619825184901
jfreechart-master\src\main\java\org\jfree\data\time\Second.java,Second.java,418,74,0.17703349282296652,61,0.002902188406933877
jfreechart-master\src\main\java\org\jfree\data\time\SimpleTimePeriod.java,SimpleTimePeriod.java,199,53,0.2663316582914573,38,0.007008727849775191
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriod.java,TimePeriod.java,55,39,0.7090909090909091,2,0.35454545454545455
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodAnchor.java,TimePeriodAnchor.java,46,40,0.8695652173913043,0,0.0
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodFormatException.java,TimePeriodFormatException.java,47,37,0.7872340425531915,0,0.0
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValue.java,TimePeriodValue.java,166,49,0.29518072289156627,26,0.011353104726598702
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValues.java,TimePeriodValues.java,423,71,0.16784869976359337,63,0.0026642650756125933
jfreechart-master\src\main\java\org\jfree\data\time\TimePeriodValuesCollection.java,TimePeriodValuesCollection.java,409,67,0.16381418092909536,67,0.0024449877750611247
jfreechart-master\src\main\java\org\jfree\data\time\TimeSeries.java,TimeSeries.java,1170,134,0.11452991452991453,205,5.586825099020221E-4
jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesCollection.java,TimeSeriesCollection.java,661,92,0.13918305597579425,104,0.0013382986151518677
jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesDataItem.java,TimeSeriesDataItem.java,188,71,0.3776595744680851,24,0.01573581560283688
jfreechart-master\src\main\java\org\jfree\data\time\TimeSeriesTableModel.java,TimeSeriesTableModel.java,238,54,0.226890756302521,43,0.005276529216337698
jfreechart-master\src\main\java\org\jfree\data\time\TimeTableXYDataset.java,TimeTableXYDataset.java,559,86,0.15384615384615385,81,0.001899335232668566
jfreechart-master\src\main\java\org\jfree\data\time\Week.java,Week.java,593,99,0.16694772344013492,80,0.0020868465430016864
jfreechart-master\src\main\java\org\jfree\data\time\Year.java,Year.java,366,73,0.1994535519125683,43,0.004638454695641123
jfreechart-master\src\main\java\org\jfree\data\UnknownKeyException.java,UnknownKeyException.java,51,41,0.803921568627451,0,0.0
jfreechart-master\src\main\java\org\jfree\data\Value.java,Value.java,50,42,0.84,1,0.84
jfreechart-master\src\main\java\org\jfree\data\Values.java,Values.java,57,38,0.6666666666666666,2,0.3333333333333333
jfreechart-master\src\main\java\org\jfree\data\Values2D.java,Values2D.java,67,43,0.6417910447761194,3,0.21393034825870647
jfreechart-master\src\main\java\org\jfree\data\xml\CategoryDatasetHandler.java,CategoryDatasetHandler.java,119,42,0.35294117647058826,11,0.03208556149732621
jfreechart-master\src\main\java\org\jfree\data\xml\CategorySeriesHandler.java,CategorySeriesHandler.java,132,48,0.36363636363636365,9,0.04040404040404041
jfreechart-master\src\main\java\org\jfree\data\xml\DatasetReader.java,DatasetReader.java,159,45,0.2830188679245283,14,0.02021563342318059
jfreechart-master\src\main\java\org\jfree\data\xml\DatasetTags.java,DatasetTags.java,55,46,0.8363636363636363,0,0.0
jfreechart-master\src\main\java\org\jfree\data\xml\ItemHandler.java,ItemHandler.java,149,51,0.3422818791946309,14,0.02444870565675935
jfreechart-master\src\main\java\org\jfree\data\xml\KeyHandler.java,KeyHandler.java,139,52,0.37410071942446044,8,0.046762589928057555
jfreechart-master\src\main\java\org\jfree\data\xml\PieDatasetHandler.java,PieDatasetHandler.java,119,46,0.3865546218487395,11,0.03514132925897632
jfreechart-master\src\main\java\org\jfree\data\xml\RootHandler.java,RootHandler.java,112,47,0.41964285714285715,12,0.034970238095238096
jfreechart-master\src\main\java\org\jfree\data\xml\ValueHandler.java,ValueHandler.java,145,51,0.35172413793103446,10,0.035172413793103444
jfreechart-master\src\main\java\org\jfree\data\xy\AbstractIntervalXYDataset.java,AbstractIntervalXYDataset.java,114,41,0.35964912280701755,12,0.02997076023391813
