chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
jfreechart-master\src\test\java\org\jfree\chart\title,title,663,319,0.48114630467571645,32,0.015035822021116139
jfreechart-master\src\test\java\org\jfree\chart\urls,urls,771,294,0.38132295719844356,28,0.013618677042801555
jfreechart-master\src\test\java\org\jfree\chart,chart,3778,1064,0.28163049232398096,171,0.0016469619434150934
jfreechart-master\src\test\java\org\jfree\data\category,category,1181,239,0.20237087214225233,78,0.002594498360798107
jfreechart-master\src\test\java\org\jfree\data\flow,flow,276,122,0.4420289855072464,12,0.036835748792270535
jfreechart-master\src\test\java\org\jfree\data\function,function,380,164,0.43157894736842106,19,0.022714681440443214
jfreechart-master\src\test\java\org\jfree\data\gantt,gantt,1063,243,0.22859830667920977,55,0.004156332848712905
jfreechart-master\src\test\java\org\jfree\data\general,general,2517,484,0.19229241160111243,189,0.0010174201672016531
jfreechart-master\src\test\java\org\jfree\data\statistics,statistics,2284,607,0.2657618213660245,118,0.0022522188251358007
jfreechart-master\src\test\java\org\jfree\data\time\ohlc,ohlc,657,192,0.2922374429223744,37,0.007898309268172282
jfreechart-master\src\test\java\org\jfree\data\time,time,7087,1296,0.18287004374206292,482,3.793984310001305E-4
jfreechart-master\src\test\java\org\jfree\data\xy,xy,5876,1626,0.2767188563648741,306,9.043099881205036E-4
jfreechart-master\src\test\java\org\jfree\data,data,2819,728,0.25824760553387727,172,0.001501439567057426
